"Zeitstempel","1. In welchem Semester bist du?","2. Hast du schon einmal versucht einen Betreuer zu finden?  (Mehrfachauswahl möglich)","3. Wenn du dich heute entscheiden müsstest, kennst du konkret einen Professor den du anschreiben würdest?","4. Wie viel Zeit hast du bisher mit dem Thema Betreuersuche verbracht?","5. Was war für dich bisher das größte Hindernis bei diesem Thema?","Erzähl vom letzten Mal als du einen Professor wegen einer Arbeit angeschrieben hast, wie ist das abgelaufen? Was hast du geschrieben, wann hast du eine Antwort bekommen, wie hat sich das Ganze entwickelt?","Wenn du an Kommilitonen denkst die schon eine Thesis geschrieben haben, was haben die dir konkret über die Betreuersuche erzählt? Gab es jemanden bei dem es richtig schiefgelaufen ist?"
"2026/06/19 8:59:08 PM OESZ","6. Semester oder höher","Ja, ich wurde mehrfach abgelehnt","Ich habe eine grobe Idee","Es beschäftigt mich seit Wochen oder Monaten","Einen Betreuer zu finden der zu meinem Thema passt und verfügbar ist ","",""
"2026/06/20 4:54:40 PM OESZ","6. Semester oder höher","Nein, ich habe noch nicht angefangen;Ich habe es versucht und wieder aufgegeben","Nein, keine Ahnung","Es beschäftigt mich seit Wochen oder Monaten","warte zu langen auf einer Rückmeldung und am End nach lange hin und her schreiben, kommt raus dass das Thema nicht passt ","Habe email geschrieben und gefragt ob bachlorarbeiten betreut, und nach 2 Wochen Rückmeldung erhalten und am ende nach lange wartezeiten meinte der dozent dass der thema in in seinem bereich liegt ",""
"2026/06/22 2:11:49 PM OESZ","4.–5. Semester","Ja, aber es hat sehr lange gedauert;Ja, ich wurde mehrfach abgelehnt","Ich habe eine grobe Idee","Mehrere Tage über Wochen verteilt","Verfügbare Professoren ausfindig zu machen","",""
"2026/06/22 5:44:22 PM OESZ","6. Semester oder höher","Nein, ich habe noch nicht angefangen","Ich habe eine grobe Idee","Es beschäftigt mich seit Wochen oder Monaten","Thema und passenden Dozenten zu finden ","Ich habe einen Dozenten angeschrieben mit bereits Vorschläge für eventuellen leitfragen und mit wurde nicht geantwortet ","Nein, die meisten haben einen Dozenten gefunden"
"2026/06/22 5:46:11 PM OESZ","4.–5. Semester","Nein, ich habe noch nicht angefangen","Nein, keine Ahnung","Wenige Stunden","Richtigen Prof zu finden der auch verfügbar ist ","",""
"2026/06/22 5:48:57 PM OESZ","6. Semester oder höher","Ich habe es versucht und wieder aufgegeben","Nein, keine Ahnung","Es beschäftigt mich seit Wochen oder Monaten","Meisten Prof die ich anschreibe haben keine freie plätze mehr ","",""
"2026/06/22 5:50:30 PM OESZ","6. Semester oder höher","Ich habe es versucht und wieder aufgegeben","Nein, keine Ahnung","Es beschäftigt mich seit Wochen oder Monaten","Keine freie plätze mehr ","",""
"2026/06/22 5:51:41 PM OESZ","1.–3. Semester","Nein, ich habe noch nicht angefangen","Nein, keine Ahnung","Noch gar nicht damit beschäftigt","ist noch zu früh, hab noch zeit dafür ","",""
"2026/06/22 5:54:09 PM OESZ","4.–5. Semester","Ja, ich wurde mehrfach abgelehnt","Nein, keine Ahnung","Mehrere Tage über Wochen verteilt","ich schreibe mit dozenten wochen lang, dann lehnen sie mein thema ab weil es nicht in ihrem gebiet gehört
","",""
"2026/06/22 9:52:15 PM OESZ","6. Semester oder höher","Ja, ich wurde mehrfach abgelehnt","Nein, keine Ahnung","Mehrere Tage über Wochen verteilt","Themenübersicht der Professoren ","",""
"2026/06/23 10:50:18 AM OESZ","6. Semester oder höher","Nein, ich habe noch nicht angefangen;Ich habe es versucht und wieder aufgegeben","Ja, ich weiß genau wen","Wenige Stunden","Keine Motivation ","Hab mündlich nachgefragt ","-"
"2026/06/23 11:50:34 AM OESZ","6. Semester oder höher","Ja, ich wurde mehrfach abgelehnt","Nein, keine Ahnung","Mehrere Tage über Wochen verteilt","Safe Kommunikation. Man muss dann über die HWR Post immer wieder mails schreiben, was natürlich gefühlt mega nervig ist. Auch die Transparenz über den Prof, halt was macht er etc. war für mich wichtig ","ich hab den über meinem anderen kollegen kennengelernt  und mit der email angeschrieben, ","schief gelaufen nicht unbedingt, aber es könnte reibungsloser werden"
"2026/06/23 11:58:50 AM OESZ","6. Semester oder höher","Ja, ich wurde mehrfach abgelehnt;Ich habe es versucht und wieder aufgegeben","Ja, ich weiß genau wen","Es beschäftigt mich seit Wochen oder Monaten","Der prof hat gesagt er ist schon voll besetzt und ich sollte mich „später“ oder im nächsten semester bei ihm melden","ich habe ihn direkt via mail angeschrieben, er hat mir geantwortet und gesagt dass es nicht klappt","ich solle schol sehr früh damit anfangen profs zu suchen"
"2026/06/23 1:39:54 PM OESZ","4.–5. Semester","Nein, ich habe noch nicht angefangen","Nein, keine Ahnung","Noch gar nicht damit beschäftigt","","","Lange Wartezeiten, viele Bewerbungen"
"2026/06/23 1:43:09 PM OESZ","6. Semester oder höher","Ja, ich habe einen gefunden;Ja, ich wurde mehrfach abgelehnt","Ja, ich weiß genau wen","Mehrere Tage über Wochen verteilt","Viel Aufwand dem Professor hinterher zu laufen und ihn um Meinungen/Bestätigungen zu bitten","Es war im letzten Semester, ich habe im vorfeld mit einem Professor über meine baldige Arbeot gesprochen, wir haben uns direkt vernetzt und als es dann so war hat sie auch schnell reagiert. Das Problem hatte ich mit meinem Zweitprüfer, ich habe lange keinen finden können (danach wurde es irgendein Random)",""
"2026/06/23 1:44:44 PM OESZ","1.–3. Semester","Nein, ich habe noch nicht angefangen","Nein, keine Ahnung","Noch gar nicht damit beschäftigt","hatte das noch nicht","",""
"2026/06/23 1:47:08 PM OESZ","6. Semester oder höher","Ja, aber es hat sehr lange gedauert","Ich habe eine grobe Idee","Es beschäftigt mich seit Wochen oder Monaten","Einen Dozenten zu finden, welcher sowohl mein Thema vertritt und auch Zeit hat","Es lief über Email. Ich hatte einige Bewerbungen abgeschickt, aber fast immer eine Ablehnung bekommen. Manchmal gar nix",""
